Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Custom PCB","connecting everything",1,5.00,"https://jlcpcb.com/","JLCPBC"
"22awg wire","wiring for dc jack, buck module, led strips, speaker",1,1.61,"https://www.aliexpress.us/item/3256801511977665.html?spm=a2g0o.productlist.main.7.764f2d1daURzRD&algo_pvid=78dbb76a-74b0-41d5-9071-d6226cb0f5c2&algo_exp_id=78dbb76a-74b0-41d5-9071-d6226cb0f5c2-6&pdp_ext_f=%7B%22order%22%3A%228851%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.22%211.08%21%21%211.22%211.08%21%402103110517754236200617335ec47c%2112000030363166125%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000203829424&curPageLogUid=EpS1AYiHwv9J&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001698292417%7C_p_origin_prod%3A","AliExpress"
"50v 100nf ceramic capacitors (10 pack free shipping)","power control",1,4.99,"https://www.amazon.com/Luftschloss-10pcs-100NF-Ceramic-Capacitor/dp/B0FW3FNC7S/ref=sr_1_2?crid=1DWTFZE283X9H&dib=eyJ2IjoiMSJ9.OXlNXyasaZJ29MQWsWfxt-689v6ygxiX7RmsSK04ZP9dF8FIaoSyWNzz8lzHIUsYFNTvxv67htz5CqVHNgN5qQZYE_YfI1OiuU9n0wcldrQUmqr_bVNqkJ2KJ336kPsWmsjAbwOsfaNGuVrGatE9d5DRpXvqmzi3O5vS7tgj5gawpJtSXqvq2YWcroo1UEkqHqN4nGKmGaIhNQGknNGnjTX858yY3zoanu6BNlEMe0w.kvScKL374LEIoZ2h-cbGFY54LOQ3ZoDt1IShfCZPHcs&dib_tag=se&keywords=100nf%2B50v%2Bceramic%2Bcapacitor&qid=1775421534&refinements=p_76%3A1249158011&rnid=1249156011&rps=1&sprefix=100nf%2B50v%2B%2Caps%2C140&sr=8-2&th=1","Amazon"
"25v 100uf electrolytic capacitors (10 pack free shipping)","power control",1,3.99,"https://www.amazon.com/JCCON-25V-100uF-6x7mm-Electrolytic/dp/B0D78PWGKJ/ref=sr_1_1?crid=23AQWRH5WI2J9&dib=eyJ2IjoiMSJ9.QsfbQg1b3JScgpOuKbUyTcPm0S7bFEANhsa_IvyBJ1M6S1MHBm8RtRR_4LhGRGWsji47bh_wAXb7c9jZAZqmDRxztWzNwPrzxahUNnrfFcJOKxnHQUDr4wEE0f51cDj_oCsklkC-Wuh8-XRGTCFpSzko9WTB0ciBADlo_tTBOq6HdwKz7PZSoVQbqWgpBtew3bxG-ttKsctT4FQ07m38MMJxTLc6_yKwu8TJ7ahzTfo.hLkknITWiqgknhHkEYt0o9HSBAPckbigzM21oiVeRMc&dib_tag=se&keywords=100uf%2B25v%2Belectrolytic%2Bcapacitor&qid=1775421571&refinements=p_76%3A1249158011&rnid=1249156011&rps=1&sprefix=100uf%2B25v%2Belectrolytic%2Bcapacitor%2Caps%2C111&sr=8-1&th=1","Amazon"
"Female to female dupont cables","connect OLED to PCB",1,1.78,"https://www.aliexpress.us/item/2251801661439747.html?spm=a2g0o.productlist.main.9.4864d635W3eR5f&algo_pvid=845f4517-45c3-4a8a-9088-7863c6077b71&algo_exp_id=845f4517-45c3-4a8a-9088-7863c6077b71-8&pdp_ext_f=%7B%22order%22%3A%22471%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.89%211.78%21%21%211.89%211.78%21%402101df0e17754156244796935e69d6%2156115178272%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000203423557&curPageLogUid=cnonMoOLMa0M&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1847754499%7C_p_origin_prod%3A","AliExpress"
"Kapton tape","insulation",1,1.99,"https://www.aliexpress.us/item/3256801522934666.html?spm=a2g0o.productlist.main.1.390d4d98I4r6NZ&algo_pvid=2084a71e-d7ef-4d02-8c52-871f844c360c&algo_exp_id=2084a71e-d7ef-4d02-8c52-871f844c360c-0&pdp_ext_f=%7B%22order%22%3A%224602%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.88%211.99%21%21%212.88%211.99%21%402101d6fe17753056362968549e3e76%2112000025632344877%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000202103300&curPageLogUid=8iMaFi277le6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001709249418%7C_p_origin_prod%3A","AliExpress"
"usb-a power output","charging via usba",1,1.63,"https://www.digikey.com/en/products/detail/molex/0676430910/917619?s=N4IgTCBcDaIGwHY4BYDMBaADATgIyZAF0BfIA","DigiKey"
"USBC output","charging",1,0.89,"https://www.digikey.com/en/products/detail/gct/USB4085-GF-A/9859662","DigiKey"
"diode","power regulation",1,1.05,"https://www.aliexpress.us/item/3256807621242224.html?spm=a2g0o.productlist.main.4.48d4tmrOtmrOrK&aem_p4p_detail=2026040317533816537373319569280000922776&algo_pvid=3d457b15-ce71-4daa-92d9-8dc71a14bb94&algo_exp_id=3d457b15-ce71-4daa-92d9-8dc71a14bb94-3&pdp_ext_f=%7B%22order%22%3A%221365%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.24%211.05%21%21%211.24%211.05%21%402103119c17752640188271192ea078%2112000042270255401%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895&curPageLogUid=wIXGufZxjm3E&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007807556976%7C_p_origin_prod%3A&search_p4p_id=2026040317533816537373319569280000922776_1","AliExpress"
"LM2596 step down","make the wall power usable",1,2.28,"https://www.aliexpress.us/item/3256810140479351.html?spm=a2g0o.productlist.main.2.18d6oUdroUdr2k&algo_pvid=5cca03d8-7998-44f9-869b-c9293ad1e702&algo_exp_id=5cca03d8-7998-44f9-869b-c9293ad1e702-1&pdp_ext_f=%7B%22order%22%3A%2224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.16%212.28%21%21%2135.33%2115.58%21%402101e80317754169653476563ee66b%2112000051970216505%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000203428099&curPageLogUid=1MOVjUeea4Ed&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010326794103%7C_p_origin_prod%3A","AliExpress"
